participant,age,IQ,backward_correct,flanker_correct,stroop_correct
adnm2,36,135,5,45,39
bjfc1,40,108,4,44,38
buzt0,30,146,5,49,39
bwat2,34,128,1,46,39
cbky9,49,135,4,48,40
cfug6,34,63,0,27,2
dhnz3,22,86,5,31,35
ejpg7,32,99,5,42,39
fesx6,33,116,4,45,38
fgrl2,54,132,1,35,39
fjfm3,35,131,5,46,37
hqlv9,43,80,4,48,40
iwzp1,42,60,3,45,38
jhoh9,48,123,4,48,40
keta9,27,118,0,43,39
kryd6,55,90,4,45,35
mnwx7,27,111,5,46,40
myyl9,27,109,1,38,38
nvko1,22,128,5,44,38
onbv9,50,97,3,42,38
ottj9,38,136,6,47,38
oucx8,47,106,0,29,39
phww7,42,106,3,42,40
pqvt6,29,114,0,48,38
qeiy3,56,88,0,42,34
qsry8,46,110,5,45,35
rdix8,38,82,0,39,35
ruvk3,35,132,3,46,38
tlit0,47,106,4,46,40
tyfi7,35,81,0,38,38
vqpg1,44,127,5,46,40
vvpq4,32,119,0,28,40
wbje4,40,130,4,38,40
wldp0,32,96,4,45,40
wyks1,37,114,4,49,40
yrtb9,30,131,4,46,38
bi_ajli0,35,94,4,45,38
bi_dckv1,30,105,4,49,38
bi_dvyf7,58,105,5,37,39
bi_evur7,42,93,0,40,34
bi_giah0,23,102,5,44,39
bi_igsy3,50,120,6,49,39
bi_iizs0,25,106,5,47,40
bi_jdyf0,34,112,4,29,39
bi_kbzo7,59,93,0,0,0
bi_khem3,26,112,6,48,39
bi_kxzm6,27,80,0,43,30
bi_nxqq4,56,107,4,47,36
bi_qjrz9,43,105,5,45,40
bi_rftj7,44,93,2,42,34
bi_sgmf1,46,120,4,47,40
bi_txmo8,51,84,0,28,38
bi_vpgq2,33,107,4,48,40
bi_wdfj3,31,104,3,43,40
bi_wetx1,49,124,3,49,40
bi_xcix4,50,101,0,45,31
bi_ycdf0,50,123,5,49,39
bi_zefa9,43,106,3,26,39
